,datetime,ticker,earliest_vcp_scanned_date,max_consolidations_pct,consolidation_start_date,consolidation_end_date,total_duration,number_of_consolidations,contraction_ratio,first_contraction_pct,first_contraction_duration,first_contraction_price,latest_contraction_pct,latest_contraction_duration,latest_contraction_price,MERGEDCONTRACTION_0_end_dt,MERGEDCONTRACTION_0_support_price,MERGEDCONTRACTION_0_start_dt,MERGEDCONTRACTION_0_resis_price,MERGEDCONTRACTION_0_contraction_pct,MERGEDCONTRACTION_0_delta_t,MERGEDCONTRACTION_1_end_dt,MERGEDCONTRACTION_1_support_price,MERGEDCONTRACTION_1_start_dt,MERGEDCONTRACTION_1_resis_price,MERGEDCONTRACTION_1_contraction_pct,MERGEDCONTRACTION_1_delta_t,MERGEDCONTRACTION_2_end_dt,MERGEDCONTRACTION_2_support_price,MERGEDCONTRACTION_2_start_dt,MERGEDCONTRACTION_2_resis_price,MERGEDCONTRACTION_2_contraction_pct,MERGEDCONTRACTION_2_delta_t,MERGEDCONTRACTION_3_end_dt,MERGEDCONTRACTION_3_support_price,MERGEDCONTRACTION_3_start_dt,MERGEDCONTRACTION_3_resis_price,MERGEDCONTRACTION_3_contraction_pct,MERGEDCONTRACTION_3_delta_t,MERGEDCONTRACTION_4_end_dt,MERGEDCONTRACTION_4_support_price,MERGEDCONTRACTION_4_start_dt,MERGEDCONTRACTION_4_resis_price,MERGEDCONTRACTION_4_contraction_pct,MERGEDCONTRACTION_4_delta_t,MERGEDCONTRACTION_5_end_dt,MERGEDCONTRACTION_5_support_price,MERGEDCONTRACTION_5_start_dt,MERGEDCONTRACTION_5_resis_price,MERGEDCONTRACTION_5_contraction_pct,MERGEDCONTRACTION_5_delta_t,SW_stage2,volume_contraction_condition,support_mrsquare,support_slope,support_rsquare,resis_mrsquare,resis_slope,resis_rsquare,MM_Stage2Filtered,RSSCORE,SCTRSCORE,MRSQUARE,MERGEDCONTRACTION_6_end_dt,MERGEDCONTRACTION_6_support_price,MERGEDCONTRACTION_6_start_dt,MERGEDCONTRACTION_6_resis_price,MERGEDCONTRACTION_6_contraction_pct,MERGEDCONTRACTION_6_delta_t,is_break_out_latest_contraction,is_break_out_first_contraction,adjclose,adjclose_date
9,2022-04-26,ABM,2022-04-04,0.2759273277819835,2021-05-14,2022-03-28,318,4,6.597793621224305,0.2759273277819835,220,52.84,0.0418201516793066,6,46.15,2021-12-20,38.26,2021-05-14,52.84,0.2759273277819835,220 days,2022-01-28,39.52,2022-01-14,45.44,0.130281690140845,14 days,2022-03-18,43.63,2022-03-09,47.86,0.0883827831174257,9 days,2022-03-28,44.22,2022-03-22,46.15,0.0418201516793066,6 days,,,,,,,,,,,,,True,True,0.0016170788874324,0.0016726664259288,0.9667671105040656,-0.0003138383980224,-0.000389394367944,0.8059654269768497,,,,,,,,,,,True,False,48.27,2022-04-29
18,2022-04-11,ACHC,2022-04-04,0.2706482155863073,2021-09-03,2022-03-23,201,3,7.389381902351419,0.2706482155863073,147,68.65,0.0366256379465625,5,66.62,2022-01-28,50.07,2021-09-03,68.65,0.2706482155863073,147 days,2022-02-24,50.47,2022-02-16,54.97,0.0818628342732399,8 days,2022-03-23,64.18,2022-03-18,66.62,0.0366256379465625,5 days,,,,,,,,,,,,,,,,,,,True,True,0.0040248289714727,0.0052186198581245,0.7712439458886275,-0.000124276855057,-0.0005052014449537,0.2459946548024145,False,92.63510282161646,95.37,94.0,,,,,,,True,False,67.88,2022-04-29
21,2022-04-18,ACRE,2022-04-04,0.1850915982312065,2021-06-14,2022-02-24,255,3,2.2149539420287514,0.1850915982312065,189,15.83,0.0835635359116022,7,14.48,2021-12-20,12.9,2021-06-14,15.83,0.1850915982312065,189 days,2022-01-24,13.19,2022-01-13,14.86,0.1123822341857335,11 days,2022-02-24,13.27,2022-02-17,14.48,0.0835635359116022,7 days,,,,,,,,,,,,,,,,,,,True,True,0.0004051010666634,0.000439023696615,0.9227316652536997,-0.0003173344491681,-0.0003241659696571,0.9789258554925868,,,,,,,,,,,True,False,15.07,2022-04-29
54,2022-04-05,AKAM,2022-04-04,0.1973815048060988,2021-07-30,2022-03-23,236,2,6.307471171049165,0.1973815048060988,209,120.68,0.0312922868741541,5,118.24,2022-02-24,96.86,2021-07-30,120.68,0.1973815048060988,209 days,2022-03-23,114.54,2022-03-18,118.24,0.0312922868741541,5 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0067604255091349,0.0067604255091349,1.0,-8.752710111675991e-05,-8.752710111675991e-05,1.0,,,,,,,,,,,False,False,112.28,2022-04-29
66,2022-05-02,ALKS,2022-04-04,0.3563636363636364,2021-10-07,2022-04-26,201,3,3.565976437674568,0.3563636363636364,55,33.0,0.0999333777481679,18,30.02,2021-12-01,21.24,2021-10-07,33.0,0.3563636363636364,55 days,2022-03-07,22.9,2022-02-16,26.83,0.1464778233320909,19 days,2022-04-26,27.02,2022-04-08,30.02,0.0999333777481679,18 days,,,,,,,,,,,,,,,,,,,True,True,0.0014358358348916,0.0017235469662699,0.83307032705872,-0.0003177623115785,-0.0006778684932065,0.4687668991302675,,,,,,,,,,,False,False,28.85,2022-04-29
83,2022-04-11,AMGN,2022-04-04,0.2215765338393421,2021-04-21,2022-03-24,337,4,8.425197447598139,0.2215765338393421,224,252.96,0.0262982689747003,3,240.32,2021-12-01,196.91,2021-04-21,252.96,0.2215765338393421,224 days,2022-02-24,214.39,2022-02-08,242.64,0.1164276294098253,16 days,2022-03-10,226.08,2022-03-07,239.66,0.0566636067762663,3 days,2022-03-24,234.0,2022-03-21,240.32,0.0262982689747003,3 days,,,,,,,,,,,,,True,True,0.0014060345691874,0.0015394639010233,0.9133274045937791,-0.0001499662472781,-0.0001525252595161,0.9832223708645742,False,80.20086083213774,90.54,77.9,,,,,,,False,False,233.19,2022-04-29
84,2022-04-26,AMH,2022-04-04,0.17301116936403,2021-12-31,2022-04-11,101,5,8.010629406127913,0.17301116936403,55,43.87,0.0215966998301383,3,41.21,2022-02-24,36.28,2021-12-31,43.87,0.17301116936403,55 days,2022-03-14,37.8,2022-03-08,39.87,0.0519187358916478,6 days,2022-03-24,38.0,2022-03-21,39.75,0.0440251572327043,3 days,2022-04-04,39.61,2022-03-31,41.1,0.0362530413625304,4 days,2022-04-11,40.32,2022-04-08,41.21,0.0215966998301383,3 days,,,,,,,True,True,0.0022852038780054,0.0023777418104296,0.961081589254842,-0.0004367240652744,-0.0007405285534136,0.5897464226885892,,,,,,,,,,,False,False,39.61,2022-04-29
125,2022-04-27,ARMK,2022-04-04,0.1891685736079328,2021-11-05,2022-04-11,157,4,1.9854760149431805,0.1891685736079328,26,39.33,0.0952751817237799,13,38.52,2021-12-01,31.89,2021-11-05,39.33,0.1891685736079328,26 days,2022-01-28,32.07,2022-01-05,38.0,0.1560526315789473,23 days,2022-03-08,32.68,2022-02-16,38.4,0.1489583333333333,20 days,2022-04-11,34.85,2022-03-29,38.52,0.0952751817237799,13 days,,,,,,,,,,,,,True,True,0.000456811237001,0.0006408263249411,0.7128471774985607,-3.949964358000112e-05,-0.0001280702874468,0.3084216047877647,,,,,,,,,,,False,False,36.25,2022-04-29
133,2022-04-18,ASH,2022-04-04,0.2432309649282209,2021-11-22,2022-04-06,135,2,6.104159408972119,0.2432309649282209,106,110.06,0.0398457583547557,8,101.14,2022-03-08,83.29,2021-11-22,110.06,0.2432309649282209,106 days,2022-04-06,97.11,2022-03-29,101.14,0.0398457583547557,8 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0057215959195333,0.0057215959195333,1.0,-0.0006381630062914,-0.0006381630062914,1.0,,,,,,,,,,,True,False,104.97,2022-04-29
137,2022-05-02,ATEN,2022-04-04,0.3514799154334038,2021-10-29,2022-04-19,172,2,2.526883555545268,0.3514799154334038,136,18.92,0.1390952059419311,21,14.81,2022-03-14,12.27,2021-10-29,18.92,0.3514799154334038,136 days,2022-04-19,12.75,2022-03-29,14.81,0.1390952059419311,21 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0010866612333604,0.0010866612333604,1.0,-0.0014386122117525,-0.0014386122117525,1.0,,,,,,,,,,,False,False,14.28,2022-04-29
