,MM_Stage2Filtered,RSSCORE,RSSCORE_D1,RSSCORE_D5,RSSCORE_D10,RSSCORE_D15,RSSCORE_D20,SCTRSCORE,SCTRSCORE_D1,SCTRSCORE_D5,SCTRSCORE_D10,SCTRSCORE_D15,SCTRSCORE_D20,MRSQUARE,MRSQUARE_D1,MRSQUARE_D5,MRSQUARE_D10,MRSQUARE_D15,MRSQUARE_D20,RSSCORE_SECTOR_RANK,SCTRSCORE_SECTOR_RANK,MRSQUARE_SECTOR_RANK,TR.GICSINDUSTRY,TR.GICSINDUSTRYGROUP,TR.GICSSECTOR,RSSCORE_SECTOR_MEDIAN,SCTRSCORE_SECTOR_MEDIAN,MRSQUARE_SECTOR_MEDIAN,RSSCORE_SECTOR_BEST,SCTRSCORE_SECTOR_BEST,MRSQUARE_SECTOR_BEST
ABM,False,78.25670498084291,4.549808429118784,-10.0095785440613,3.35249042145594,12.356321839080463,20.06704980842912,86.27,4.009999999999991,-9.14,3.299999999999997,10.799999999999995,26.919999999999995,90.9,0.7000000000000028,3.4000000000000057,8.800000000000011,10.900000000000006,8.200000000000017,60.0,30.0,26.0,Commercial Services & Supplies,Commercial  & Professional Services,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
ACHC,False,89.51149425287356,0.3352490421455911,2.586206896551729,-3.0172413793103487,0.6704980842911823,10.105363984674328,88.67,0.2399999999999948,1.2999999999999972,-5.539999999999992,-4.730000000000004,10.760000000000003,97.3,0.0999999999999943,0.5,2.1000000000000085,4.399999999999992,9.099999999999994,26.0,28.0,9.0,Health Care Providers & Services,Health Care Equipment & Services,Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
ACRE,False,76.0536398467433,1.2452107279693507,-1.1494252873563229,-5.316091954022994,7.567049808429118,4.501915708812263,77.28,1.2900000000000065,0.7600000000000051,-4.159999999999997,11.040000000000006,6.359999999999999,83.5,0.0,2.5999999999999943,5.299999999999997,8.599999999999994,8.299999999999997,43.0,41.0,20.0,Mortgage Real Estate Investment Trusts (REITs),Diversified Financials,Financials,45.54597701149425,47.06,29.6,AMRK,BRK.B,FHN
AKAM,False,66.85823754789271,0.143678160919535,-2.490421455938701,-5.124521072796938,-7.231800766283527,-6.848659003831415,73.89,-0.0900000000000034,-3.819999999999993,-2.5799999999999983,-6.840000000000003,-6.260000000000005,75.2,0.7999999999999972,4.400000000000006,6.400000000000006,7.099999999999994,10.299999999999995,68.0,50.0,42.0,IT Services,Software & Services,Information Technology,44.6360153256705,36.585,45.1,POLY,MGI,POLY
ALKS,False,89.75095785440614,0.6704980842911965,13.457854406130268,5.459770114942543,2.3946360153256734,17.911877394636022,85.99,-0.1900000000000119,9.759999999999993,5.929999999999993,4.309999999999988,37.59,93.0,1.3999999999999917,8.200000000000003,11.799999999999995,14.399999999999991,14.5,25.0,31.0,24.5,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
AMGN,False,76.81992337164752,4.022988505747136,-3.975095785440601,-5.555555555555543,-1.7720306513409838,6.273946360153261,82.07,2.7299999999999898,-7.890000000000001,-7.170000000000002,-7.460000000000008,0.4299999999999926,85.1,-0.2000000000000028,3.200000000000003,6.499999999999986,8.199999999999989,6.899999999999992,56.0,36.0,52.0,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Health Care,37.78735632183909,25.44,56.39999999999999,LNTH,LNTH,LNTH
AMH,False,70.11494252873564,-3.3045977011494188,-10.249042145593862,1.628352490421463,2.2988505747126595,11.97318007662836,74.56,-1.6700000000000017,-8.319999999999993,-1.5300000000000011,0.960000000000008,9.420000000000002,79.5,1.0,4.799999999999997,15.799999999999995,25.2,35.3,74.0,48.0,41.0,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate,69.15708812260536,68.24,71.15,APTS,APTS,FPI
ARMK,False,72.98850574712644,-2.250957854406124,-3.735632183908052,8.2375478927203,19.252873563218397,10.105363984674328,72.26,-2.6299999999999955,-6.599999999999994,6.840000000000003,17.410000000000004,5.930000000000007,65.0,-0.6000000000000085,-0.4000000000000057,-1.4000000000000057,-5.199999999999989,-6.399999999999992,38.0,43.0,48.5,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,31.369731800766285,38.16,37.05,DDS,MUSA,TEN
ASH,False,88.45785440613027,-0.3831417624521123,5.890804597701148,4.070881226053643,21.408045977011497,25.239463601532563,90.44,-0.4699999999999988,6.939999999999998,5.310000000000002,16.739999999999995,19.129999999999995,79.4,2.9000000000000057,11.200000000000005,22.70000000000001,35.50000000000001,45.400000000000006,27.0,25.0,33.0,Chemicals,Materials,Materials,63.793103448275865,67.0,59.0,IPI,CF,IPI
ATEN,False,86.87739463601532,0.5747126436781684,9.386973180076623,25.095785440613028,14.798850574712644,9.003831417624511,72.02,-7.13000000000001,-6.510000000000005,24.629999999999995,14.249999999999991,14.15,61.2,2.699999999999996,15.299999999999995,18.599999999999994,16.299999999999997,21.099999999999994,24.0,55.0,75.0,Software,Software & Services,Information Technology,44.6360153256705,36.585,45.1,POLY,MGI,POLY
